Shooter,X,Y,Z,Weapon
zont1x,167.31,-1200.07,-415.97,AK-47
FalleN,676.68,-1483.90,-415.47,M4A1
zont1x,167.31,-1200.07,-415.97,AK-47
zont1x,167.31,-1200.07,-415.97,AK-47
zont1x,167.31,-1200.07,-415.97,AK-47
zont1x,167.49,-1199.78,-415.97,AK-47
FalleN,718.21,-1432.39,-415.97,M4A1
FalleN,717.81,-1431.94,-415.97,M4A1
FalleN,717.81,-1431.94,-415.97,M4A1
FalleN,717.81,-1431.94,-415.97,M4A1
FalleN,717.81,-1431.94,-415.97,M4A1
FalleN,717.81,-1431.94,-415.97,M4A1
FalleN,717.81,-1431.94,-415.97,M4A1
FalleN,717.81,-1431.94,-415.97,M4A1
YEKINDAR,1491.61,-1320.33,-415.97,M4A1
FalleN,717.89,-1431.74,-415.97,M4A1
zweih,1046.86,-1454.13,-407.97,AK-47
YEKINDAR,1491.65,-1321.47,-415.97,M4A1
zweih,1048.38,-1459.56,-407.97,AK-47
YEKINDAR,1489.90,-1315.96,-415.97,M4A1
YEKINDAR,1488.27,-1310.81,-415.97,M4A1
chopper,717.46,-2038.22,-415.97,AK-47
YEKINDAR,1487.08,-1307.10,-415.97,M4A1
chopper,722.07,-2038.04,-415.97,AK-47
YEKINDAR,1486.00,-1304.09,-415.97,M4A1
FalleN,793.29,-1355.37,-415.97,M4A1
donk,755.60,-1893.85,-407.97,HE Grenade
KSCERATO,996.50,-1553.35,-415.97,M4A1
KSCERATO,995.35,-1553.06,-415.97,M4A1
KSCERATO,995.35,-1553.06,-415.97,M4A1
YEKINDAR,1173.53,-1261.52,-415.97,M4A1
KSCERATO,995.35,-1553.06,-415.97,M4A1
YEKINDAR,1167.24,-1259.70,-415.97,M4A1
KSCERATO,995.35,-1553.06,-415.97,M4A1
YEKINDAR,1166.85,-1259.45,-415.97,M4A1
FalleN,886.17,-1296.12,-415.97,M4A1
chopper,1325.54,-1894.41,-380.92,AK-47
KSCERATO,995.35,-1553.06,-415.97,M4A1
YEKINDAR,1166.85,-1259.45,-415.97,M4A1
FalleN,886.02,-1295.47,-415.97,M4A1
KSCERATO,995.35,-1553.06,-415.97,M4A1
YEKINDAR,1166.85,-1259.45,-415.97,M4A1
FalleN,886.02,-1295.47,-415.97,M4A1
KSCERATO,995.17,-1553.06,-415.97,M4A1
YEKINDAR,1167.55,-1259.28,-415.97,M4A1
FalleN,885.08,-1292.99,-415.97,M4A1
donk,1039.96,-1922.00,-415.97,AK-47
zont1x,-325.59,-1052.39,-415.97,Flashbang
donk,1046.67,-1923.13,-415.97,AK-47
donk,1056.03,-1925.49,-415.97,AK-47
KSCERATO,1021.47,-1566.67,-415.97,M4A1
YEKINDAR,1247.01,-1278.77,-415.97,M4A1
donk,1063.11,-1928.43,-415.97,AK-47
KSCERATO,1023.16,-1570.29,-415.97,M4A1
YEKINDAR,1264.07,-1285.18,-415.97,M4A1
donk,1069.22,-1931.46,-415.97,AK-47
KSCERATO,1019.33,-1571.55,-415.97,M4A1
YEKINDAR,1267.61,-1286.77,-415.97,M4A1
donk,1075.26,-1932.93,-415.97,AK-47
KSCERATO,1016.74,-1572.04,-415.97,M4A1
YEKINDAR,1263.47,-1285.45,-415.97,M4A1
donk,1077.07,-1932.78,-415.97,AK-47
YEKINDAR,1262.67,-1285.20,-415.97,M4A1
YEKINDAR,1262.67,-1285.20,-415.97,M4A1
YEKINDAR,1263.76,-1285.52,-415.97,M4A1
YEKINDAR,1271.07,-1287.63,-415.97,M4A1
sh1ro,804.45,-1758.21,-415.97,AWP
yuurih,1310.05,-393.33,-127.47,Flashbang
YEKINDAR,1353.80,-1335.98,-415.97,M4A1
YEKINDAR,1353.70,-1335.85,-415.97,M4A1
YEKINDAR,1354.82,-1337.68,-415.97,M4A1
YEKINDAR,1371.72,-1366.22,-415.97,M4A1
YEKINDAR,1372.30,-1367.21,-415.97,M4A1
YEKINDAR,1372.30,-1367.21,-415.97,M4A1
YEKINDAR,1372.50,-1367.61,-415.97,M4A1
YEKINDAR,1376.14,-1375.07,-415.97,M4A1
YEKINDAR,1511.03,-1489.47,-415.97,HE Grenade
molodoy,1266.44,-2432.12,-415.58,AWP
YEKINDAR,1452.38,-1662.22,-415.97,M4A1
YEKINDAR,1449.47,-1652.83,-415.97,M4A1
YEKINDAR,1449.52,-1652.60,-415.97,M4A1
YEKINDAR,1449.52,-1652.60,-415.97,M4A1
YEKINDAR,1449.52,-1652.60,-415.97,M4A1
zont1x,485.94,-2013.56,-415.97,AK-47
YEKINDAR,1449.38,-1652.22,-415.97,M4A1
zont1x,485.47,-2013.47,-415.97,AK-47
YEKINDAR,1447.35,-1646.85,-415.97,M4A1
zont1x,484.66,-2013.77,-415.97,AK-47
zont1x,484.02,-2014.76,-415.97,AK-47
zont1x,483.21,-2016.53,-415.97,AK-47
zont1x,482.32,-2018.49,-415.97,AK-47
YEKINDAR,1451.96,-1651.28,-415.97,M4A1
YEKINDAR,1446.79,-1638.65,-415.97,M4A1
molodoy,1411.59,-2425.63,-479.69,AWP
zont1x,560.30,-2006.07,-415.97,AK-47
zont1x,560.59,-2005.52,-415.97,AK-47
YEKINDAR,1186.01,-840.12,-407.97,M4A1
YEKINDAR,1186.95,-840.34,-407.97,M4A1
YEKINDAR,1188.22,-840.64,-407.97,M4A1
YEKINDAR,1189.93,-841.04,-407.97,M4A1
YEKINDAR,1192.49,-841.65,-407.97,M4A1
YEKINDAR,1195.15,-842.29,-407.97,M4A1
YEKINDAR,1198.81,-843.17,-407.97,M4A1
YEKINDAR,1202.43,-844.07,-407.97,M4A1
YEKINDAR,1206.49,-845.09,-407.97,M4A1
YEKINDAR,1211.80,-846.45,-407.97,M4A1
zont1x,890.29,-2209.89,-415.97,AK-47
YEKINDAR,1259.33,-894.89,-407.97,M4A1
YEKINDAR,1266.42,-896.01,-407.97,M4A1
YEKINDAR,1274.65,-897.51,-407.97,M4A1
YEKINDAR,1281.68,-898.94,-407.97,M4A1
zont1x,1020.70,-2217.63,-415.97,AK-47
zont1x,1019.58,-2217.19,-415.97,AK-47
zont1x,1019.71,-2217.21,-415.97,AK-47
zont1x,1019.70,-2217.21,-415.97,AK-47
yuurih,328.44,-1242.23,-415.97,M4A1
zont1x,1246.77,-2001.57,-415.97,AK-47
zont1x,1246.42,-2002.09,-415.97,AK-47
zont1x,1244.25,-2004.76,-415.97,AK-47
zont1x,1243.95,-2005.13,-415.97,AK-47
zont1x,1199.29,-2233.44,-407.97,Knife
zont1x,1241.02,-2351.00,-415.47,Knife
zont1x,1313.62,-2403.84,-415.97,Knife
chopper,-1831.68,-1160.00,-415.97,Glock-18
chopper,-1816.90,-1160.14,-415.97,Glock-18
chopper,-1786.18,-1163.30,-415.97,Glock-18
chopper,-1727.90,-1180.63,-415.97,Glock-18
donk,-1866.37,-1136.47,-415.97,Glock-18
chopper,-1672.82,-1186.23,-415.97,Glock-18
chopper,-1634.23,-1199.53,-415.97,Glock-18
donk,-1795.71,-1177.26,-415.97,Glock-18
chopper,-1602.84,-1209.07,-415.97,Glock-18
donk,-1750.23,-1199.76,-415.97,Glock-18
donk,-1710.59,-1200.42,-415.97,Glock-18
chopper,-1572.06,-1212.33,-415.97,Glock-18
donk,-1674.04,-1200.94,-415.97,Glock-18
chopper,-1544.98,-1210.21,-415.97,Glock-18
donk,-1629.63,-1195.66,-415.97,Glock-18
chopper,-1519.87,-1204.36,-415.97,Glock-18
donk,-1591.35,-1177.21,-415.97,Glock-18
zont1x,-987.88,-1027.65,-415.97,Knife
zont1x,-890.06,-1006.94,-413.97,Knife
FalleN,1439.04,-468.01,-415.97,Knife
zont1x,-818.31,-937.71,-413.97,Knife
zont1x,-750.76,-867.45,-415.97,Knife
FalleN,1196.56,-329.59,-415.97,Knife
zont1x,-657.73,-796.25,-415.97,Knife
YEKINDAR,1471.87,-1191.12,-415.97,Smoke Grenade
sh1ro,-601.56,-1439.48,-415.97,Knife
zont1x,-539.25,-737.38,-415.97,Knife
zont1x,-377.37,-913.32,-415.97,HE Grenade
donk,-410.21,-1709.73,-415.97,Flashbang
yuurih,985.46,-448.04,-127.97,Smoke Grenade
FalleN,792.63,94.42,-415.97,Smoke Grenade
zweih,-317.86,-1164.57,-109.50,Molotov
yuurih,747.30,-692.12,-206.97,Incendiary Grenade
chopper,-732.88,-1322.14,-377.11,Smoke Grenade
chopper,-732.88,-1322.14,-365.73,Smoke Grenade
donk,-217.96,-1867.29,-380.95,HE Grenade
KSCERATO,-139.71,-1308.47,-415.97,M4A1
KSCERATO,-200.46,-1249.06,-415.97,M4A1
zont1x,90.57,-1090.19,-415.97,Galil AR
KSCERATO,-206.23,-1247.85,-415.97,M4A1
zont1x,89.96,-1088.82,-415.97,Galil AR
KSCERATO,-207.56,-1249.35,-415.97,M4A1
zont1x,90.20,-1089.27,-415.97,Galil AR
KSCERATO,-206.82,-1251.44,-415.97,M4A1
zont1x,90.23,-1089.32,-415.97,Galil AR
KSCERATO,-206.72,-1251.64,-415.97,M4A1
zont1x,90.23,-1089.32,-415.97,Galil AR
zont1x,90.23,-1089.32,-415.97,Galil AR
zont1x,90.23,-1089.32,-415.97,Galil AR
zont1x,90.80,-1090.06,-415.97,Galil AR
yuurih,496.65,-1359.24,-415.97,Knife
zont1x,103.48,-1109.31,-415.97,Flashbang
sh1ro,-43.67,-2005.73,-415.97,Smoke Grenade
sh1ro,-51.67,-2005.58,-388.06,Smoke Grenade
zont1x,79.78,-1086.42,-415.97,Molotov
zont1x,102.01,-1097.71,-415.97,Galil AR
zont1x,102.60,-1097.44,-415.97,Galil AR
zont1x,102.19,-1097.63,-415.97,Galil AR
zont1x,101.75,-1097.82,-415.97,Galil AR
zont1x,101.75,-1097.82,-415.97,Galil AR
zweih,196.97,-688.10,-287.97,Galil AR
zweih,196.23,-688.14,-287.97,Galil AR
donk,-437.73,-867.25,-415.97,AK-47
zweih,194.94,-688.22,-287.97,Galil AR
molodoy,256.51,-1105.10,-404.96,FAMAS
donk,-435.71,-865.59,-415.97,AK-47
zweih,195.04,-688.21,-287.97,Galil AR
molodoy,263.77,-1103.17,-400.11,FAMAS
donk,-433.24,-862.95,-415.97,AK-47
zweih,197.51,-688.04,-287.97,Galil AR
molodoy,271.87,-1101.35,-394.72,FAMAS
donk,-430.48,-859.98,-415.97,AK-47
zweih,199.84,-688.19,-287.97,Galil AR
molodoy,276.47,-1100.39,-391.97,FAMAS
donk,-426.81,-856.13,-415.97,AK-47
zweih,196.37,-688.69,-287.97,Galil AR
molodoy,281.17,-1099.45,-391.97,FAMAS
donk,-423.34,-852.49,-415.97,AK-47
zweih,192.08,-689.29,-287.97,Galil AR
molodoy,287.48,-1098.15,-391.97,FAMAS
zweih,187.35,-690.00,-287.97,Galil AR
zweih,183.07,-690.71,-287.97,Galil AR
zweih,177.54,-691.70,-287.97,Galil AR
yuurih,-126.25,-1275.81,-415.97,FAMAS
yuurih,-127.60,-1275.15,-415.97,FAMAS
zont1x,45.54,-1046.78,-415.97,Galil AR
yuurih,-129.48,-1274.17,-415.97,FAMAS
zont1x,45.40,-1046.48,-415.97,Galil AR
zont1x,43.65,-1045.13,-415.97,Galil AR
donk,-414.80,-837.80,-415.97,AK-47
zweih,174.57,-699.54,-287.97,Galil AR
zont1x,41.39,-1043.46,-415.97,Galil AR
zweih,173.11,-698.70,-287.97,Galil AR
zont1x,41.31,-1043.41,-415.97,Galil AR
zweih,169.71,-696.86,-287.97,Galil AR
zweih,165.92,-694.84,-287.97,Galil AR
zweih,161.78,-693.43,-287.97,Galil AR
zweih,158.07,-693.43,-287.97,Galil AR
zweih,153.33,-694.17,-287.97,Galil AR
zweih,152.57,-694.22,-287.97,Galil AR
zweih,149.69,-694.98,-287.97,Galil AR
donk,-387.10,-886.41,-415.97,Molotov
molodoy,440.32,-842.21,-391.97,Smoke Grenade
molodoy,570.10,-1355.31,-415.97,FAMAS
molodoy,570.89,-1352.56,-415.97,FAMAS
molodoy,573.67,-1343.18,-415.97,FAMAS
zont1x,-65.88,-1162.00,-415.47,Galil AR
molodoy,576.99,-1331.84,-415.97,FAMAS
zont1x,-67.03,-1165.80,-415.47,Galil AR
molodoy,580.49,-1319.58,-415.97,FAMAS
zont1x,-67.34,-1166.88,-415.47,Galil AR
zont1x,-67.48,-1167.38,-415.47,Galil AR
zont1x,-67.33,-1166.80,-415.47,Galil AR
zont1x,-67.33,-1166.80,-415.47,Galil AR
zont1x,-67.26,-1166.53,-415.47,Galil AR
sh1ro,-423.58,-992.30,-415.97,Molotov
molodoy,565.17,-1390.09,-415.97,FAMAS
molodoy,554.98,-1392.21,-415.97,FAMAS
molodoy,551.41,-1387.95,-415.97,FAMAS
molodoy,547.07,-1388.61,-415.97,FAMAS
donk,-136.29,-498.65,-415.97,AK-47
FalleN,113.33,-393.37,-415.97,Five-SeveN
donk,-135.83,-500.11,-415.97,AK-47
donk,-136.24,-499.15,-415.97,AK-47
donk,-136.12,-499.41,-415.97,AK-47
chopper,19.66,-940.05,-21.97,Molotov
YEKINDAR,1196.77,84.21,-415.97,FAMAS
YEKINDAR,1196.86,82.82,-415.97,FAMAS
YEKINDAR,1196.86,82.82,-415.97,FAMAS
zont1x,-81.05,-1150.25,-415.47,Smoke Grenade
YEKINDAR,1196.96,81.35,-415.97,FAMAS
donk,313.75,25.64,-415.97,AK-47
YEKINDAR,1198.12,63.55,-415.97,FAMAS
donk,313.71,26.54,-415.97,AK-47
YEKINDAR,1198.10,64.17,-415.97,FAMAS
donk,313.66,27.81,-415.97,AK-47
YEKINDAR,1198.05,65.60,-415.97,FAMAS
donk,313.60,29.53,-415.97,AK-47
YEKINDAR,1197.95,67.75,-415.97,FAMAS
donk,313.52,31.43,-415.97,AK-47
YEKINDAR,1197.82,70.36,-415.97,FAMAS
donk,313.45,33.26,-415.97,AK-47
donk,313.39,35.72,-415.97,AK-47
donk,313.35,38.11,-415.97,AK-47
donk,313.28,40.75,-415.97,AK-47
zont1x,396.93,-1444.11,-415.97,M4A1
zont1x,396.93,-1444.17,-415.97,M4A1
zont1x,396.93,-1444.17,-415.97,M4A1
zont1x,396.93,-1444.17,-415.97,M4A1
zont1x,396.93,-1444.17,-415.97,M4A1
zont1x,396.93,-1444.17,-415.97,M4A1
zont1x,396.93,-1444.17,-415.97,M4A1
sh1ro,1130.66,-2380.92,-415.97,Tec-9
sh1ro,1136.99,-2384.24,-415.97,Tec-9
sh1ro,1140.03,-2370.71,-415.97,Tec-9
sh1ro,1143.27,-2348.66,-415.97,Tec-9
sh1ro,1107.85,-2150.84,-415.97,Knife
sh1ro,1058.31,-2062.18,-415.97,Knife
donk,832.58,-19.90,-639.97,Knife
donk,907.31,-307.07,-639.97,Five-SeveN
donk,908.10,-347.21,-639.97,Five-SeveN
donk,915.37,-381.69,-639.97,Five-SeveN
zont1x,1073.33,-1175.66,-407.97,Glock-18
zont1x,1078.46,-1138.52,-407.97,Glock-18
chopper,-1726.96,-1145.95,-415.97,Tec-9
chopper,-1648.13,-1161.52,-415.97,Tec-9
chopper,-1556.12,-1172.56,-415.97,Tec-9
chopper,-1471.44,-1175.70,-415.97,Tec-9
chopper,-1268.03,-1162.11,-370.09,Smoke Grenade
zont1x,-891.94,-927.03,-372.78,Smoke Grenade
sh1ro,-762.84,-1263.94,-370.31,Smoke Grenade
donk,-656.61,-1328.58,-415.97,Smoke Grenade
molodoy,1379.05,-1276.22,-415.97,Smoke Grenade
zont1x,-774.96,-894.01,-415.97,Knife
zont1x,-692.18,-842.23,-415.97,Knife
zont1x,-535.40,-739.96,-415.97,Knife
KSCERATO,869.50,61.50,-415.97,Smoke Grenade
zweih,-324.57,-1167.53,-123.34,Molotov
donk,-358.30,-1741.45,-415.97,Flashbang
zont1x,-385.72,-899.67,-415.97,HE Grenade
yuurih,777.38,-685.79,-206.97,HE Grenade
YEKINDAR,825.42,-101.87,-639.97,USP-S
zweih,216.96,-1492.81,-43.27,AK-47
zweih,218.27,-1491.83,-43.66,AK-47
zweih,219.19,-1491.15,-43.92,AK-47
zweih,217.78,-1492.17,-43.52,AK-47
zweih,217.78,-1492.17,-43.52,AK-47
zweih,214.81,-1494.36,-42.66,AK-47
zweih,221.39,-1489.60,-44.55,AK-47
zweih,220.76,-1490.03,-44.37,AK-47
zweih,220.76,-1490.03,-44.37,AK-47
zweih,220.76,-1490.03,-44.37,AK-47
zweih,220.76,-1490.03,-44.37,AK-47
zweih,220.76,-1490.03,-44.37,AK-47
zweih,221.21,-1489.74,-44.50,AK-47
zont1x,182.68,-634.82,-415.97,M4A1
zont1x,182.71,-634.83,-415.97,M4A1
zont1x,184.36,-635.94,-415.97,M4A1
KSCERATO,245.97,-463.95,-415.97,Five-SeveN
zweih,221.20,-1489.79,-44.48,AK-47
zont1x,184.39,-635.81,-415.97,M4A1
zont1x,183.42,-635.48,-415.97,M4A1
zweih,222.36,-1489.02,-44.80,AK-47
zont1x,183.14,-635.59,-415.97,M4A1
zont1x,181.64,-635.57,-415.97,M4A1
zweih,220.20,-1490.47,-44.21,AK-47
zweih,222.46,-1488.94,-44.83,AK-47
donk,601.79,-2333.56,-415.97,Molotov
sh1ro,560.56,-2261.04,-287.97,Molotov
molodoy,104.90,-1259.75,-415.97,Desert Eagle
zont1x,-278.52,-1009.38,-415.97,M4A1
zont1x,-277.48,-1007.63,-415.97,M4A1
zont1x,-278.44,-1009.10,-415.97,M4A1
zont1x,-279.46,-1010.68,-415.97,M4A1
zont1x,-279.48,-1010.73,-415.97,M4A1
molodoy,191.06,-1240.15,-415.97,Desert Eagle
donk,601.02,-1885.17,-407.97,AK-47
donk,599.08,-1887.34,-407.97,AK-47
donk,596.66,-1888.99,-407.97,AK-47
donk,593.80,-1890.80,-407.97,AK-47
donk,589.97,-1893.19,-407.97,AK-47
donk,586.43,-1895.61,-407.97,AK-47
chopper,516.11,-1998.14,-415.97,Smoke Grenade
donk,583.73,-1899.84,-407.97,AK-47
yuurih,-263.97,-375.73,-154.98,Five-SeveN
zont1x,-405.23,-845.47,-415.97,Molotov
yuurih,-263.94,-375.61,-155.00,Five-SeveN
yuurih,-263.94,-375.61,-155.00,Five-SeveN
yuurih,-263.94,-375.61,-155.00,Five-SeveN
yuurih,-263.94,-375.27,-155.00,Five-SeveN
yuurih,-263.94,-375.27,-155.00,Five-SeveN
yuurih,-263.94,-375.06,-155.00,Five-SeveN
chopper,516.16,-2030.79,-415.97,Molotov
molodoy,468.42,-1279.91,-415.97,Desert Eagle
yuurih,-284.29,-380.73,-112.97,Five-SeveN
yuurih,-282.16,-381.18,-112.97,Five-SeveN
yuurih,-279.99,-381.40,-112.97,Five-SeveN
yuurih,-280.83,-381.07,-112.97,Five-SeveN
zweih,586.86,-1743.49,-234.22,Flashbang
chopper,1216.95,-2057.94,-407.97,AK-47
chopper,1220.90,-2057.30,-407.97,AK-47
chopper,1221.78,-2056.50,-407.97,AK-47
chopper,1227.59,-2052.17,-407.97,AK-47
FalleN,-216.80,-1100.76,-415.97,Flashbang
yuurih,-264.32,-1061.95,-415.97,Smoke Grenade
FalleN,535.48,-1066.64,-415.97,Flashbang
donk,1171.77,-389.88,-127.97,HE Grenade
sh1ro,1209.68,-338.57,-127.97,Flashbang
zweih,1139.61,-470.28,-121.66,HE Grenade
FalleN,883.58,-1352.50,-415.97,Smoke Grenade
molodoy,334.31,-1431.44,-415.97,Desert Eagle
sh1ro,1062.62,-357.48,-127.97,AWP
donk,889.41,-292.21,-127.97,AK-47
donk,884.50,-292.35,-127.97,AK-47
donk,879.80,-292.59,-127.97,AK-47
molodoy,349.47,-1436.23,-415.97,Desert Eagle
donk,873.76,-292.97,-127.97,AK-47
donk,868.09,-293.38,-127.97,AK-47
molodoy,366.55,-1442.85,-415.97,Desert Eagle
donk,967.80,-342.00,-127.97,AK-47
donk,969.51,-342.24,-127.97,AK-47
donk,991.94,-376.99,-127.97,AK-47
molodoy,369.51,-1449.62,-415.97,Desert Eagle
donk,988.72,-375.04,-127.97,AK-47
donk,994.70,-388.30,-127.97,AK-47
donk,957.59,-387.90,-127.97,AK-47
donk,966.15,-392.03,-127.97,AK-47
donk,951.58,-383.35,-127.97,AK-47
donk,963.65,-390.20,-127.97,AK-47
donk,955.49,-385.43,-127.97,AK-47
molodoy,374.93,-1437.33,-415.97,Desert Eagle
donk,971.34,-426.76,-127.97,AK-47
sh1ro,944.97,-790.82,-415.97,AK-47
donk,972.23,-428.13,-127.97,AK-47
sh1ro,945.51,-802.34,-415.97,AK-47
sh1ro,944.47,-808.54,-415.97,AK-47
sh1ro,944.18,-809.83,-415.97,AK-47
sh1ro,944.18,-809.83,-415.97,AK-47
sh1ro,944.10,-809.75,-415.97,AK-47
molodoy,348.63,-1417.94,-415.97,Desert Eagle
sh1ro,941.00,-806.66,-415.97,AK-47
sh1ro,935.75,-801.39,-415.97,AK-47
sh1ro,929.27,-798.31,-415.97,AK-47
donk,970.33,-613.44,-127.97,AK-47
donk,972.95,-616.15,-127.97,AK-47
donk,974.42,-617.65,-127.97,AK-47
molodoy,511.90,-1260.27,-415.97,Desert Eagle
donk,721.72,-304.02,-127.97,AK-47
donk,723.25,-304.45,-127.97,AK-47
donk,486.45,-314.48,-127.97,AK-47
donk,490.12,-314.52,-127.97,AK-47
molodoy,545.86,-1267.91,-415.97,Desert Eagle
donk,545.93,-306.24,-127.97,AK-47
donk,551.62,-305.58,-127.97,AK-47
donk,552.06,-305.47,-127.97,AK-47
donk,553.27,-305.49,-127.97,AK-47
sh1ro,886.77,-657.45,-402.72,AK-47
donk,934.75,-315.40,-127.97,AK-47
donk,937.30,-316.14,-127.97,AK-47
donk,940.03,-317.48,-127.97,AK-47
donk,942.38,-320.48,-127.97,AK-47
donk,944.31,-323.68,-127.97,AK-47
donk,946.55,-327.11,-127.97,AK-47
donk,950.25,-330.21,-127.97,AK-47
donk,952.93,-333.73,-127.97,AK-47
donk,955.87,-338.61,-127.97,AK-47
donk,958.50,-343.30,-127.97,AK-47
chopper,1362.88,-352.10,-85.97,AK-47
chopper,1362.18,-351.62,-85.97,AK-47
chopper,1362.96,-353.79,-85.97,AK-47
FalleN,-1807.79,-1089.00,-415.97,Glock-18
molodoy,-1916.79,-1122.12,-415.97,Glock-18
FalleN,-1756.81,-1093.32,-415.97,Glock-18
yuurih,-1783.53,-1107.41,-415.97,Glock-18
FalleN,-1709.04,-1101.91,-415.97,Glock-18
molodoy,-1780.42,-1164.96,-415.97,Glock-18
FalleN,-1598.82,-1114.66,-415.97,Glock-18
yuurih,-1654.18,-1145.27,-415.97,Glock-18
molodoy,-1706.74,-1164.44,-415.97,Glock-18
chopper,2216.55,-378.49,-351.97,Knife
FalleN,-1532.82,-1121.02,-415.97,Glock-18
yuurih,-1599.20,-1148.55,-415.97,Glock-18
molodoy,-1658.89,-1155.14,-415.97,Glock-18
FalleN,-969.42,-1121.94,-415.97,Knife
chopper,1004.01,-457.94,-99.30,Smoke Grenade
KSCERATO,-412.44,-881.02,-415.97,HE Grenade
FalleN,27.84,-945.15,-21.97,Molotov
KSCERATO,-258.85,-1070.97,-415.97,Smoke Grenade
FalleN,-7.35,-769.62,-52.06,Flashbang
KSCERATO,-303.93,-1048.57,-415.97,Flashbang
FalleN,-3.03,-769.63,-53.20,Flashbang
chopper,303.48,-920.88,-127.97,Flashbang
molodoy,435.42,-1109.12,-391.97,Glock-18
zont1x,1144.56,-236.04,-415.97,Knife
molodoy,447.24,-1109.22,-391.97,Glock-18
zweih,372.82,-864.95,-391.97,Dual Berettas
molodoy,432.83,-1113.84,-391.97,Glock-18
donk,811.56,-1305.73,-415.97,USP-S
molodoy,410.23,-1119.82,-391.97,Glock-18
YEKINDAR,548.17,-1373.09,-415.97,Glock-18
donk,812.43,-1305.79,-415.97,USP-S
molodoy,408.26,-1120.97,-391.97,Glock-18
YEKINDAR,528.74,-1365.30,-415.97,Glock-18
donk,813.68,-1298.97,-415.97,USP-S
YEKINDAR,502.81,-1371.67,-415.97,Glock-18
YEKINDAR,478.92,-1384.30,-415.97,Glock-18
YEKINDAR,464.04,-1386.89,-415.97,Glock-18
zont1x,1066.11,-373.89,-127.97,HE Grenade
YEKINDAR,536.20,-1261.41,-415.97,Glock-18
YEKINDAR,494.54,-1260.65,-415.97,Glock-18
zont1x,1031.23,-365.98,-127.97,USP-S
zont1x,1053.62,-377.97,-127.97,USP-S
zont1x,1071.93,-369.92,-127.97,USP-S
YEKINDAR,483.68,-1277.80,-415.97,Glock-18
zont1x,1073.98,-364.80,-127.97,USP-S
FalleN,337.14,-753.80,-391.97,Glock-18
chopper,288.40,-943.48,-127.97,USP-S
FalleN,342.37,-761.25,-391.97,Glock-18
zont1x,1113.04,-369.75,-127.97,USP-S
chopper,288.40,-943.48,-127.97,USP-S
molodoy,760.82,-770.06,-359.69,Glock-18
molodoy,746.33,-771.32,-344.41,Glock-18
chopper,288.40,-943.48,-127.97,USP-S
molodoy,742.09,-782.89,-351.03,Glock-18
chopper,288.40,-943.48,-127.97,USP-S
molodoy,747.74,-780.13,-399.97,Glock-18
chopper,288.45,-943.61,-127.97,USP-S
molodoy,746.58,-776.76,-399.97,Glock-18
chopper,288.49,-943.79,-127.97,USP-S
YEKINDAR,810.69,-1150.82,-415.97,Glock-18
molodoy,746.34,-776.14,-399.97,Glock-18
sh1ro,-22.16,-407.37,-415.47,Dual Berettas
YEKINDAR,815.05,-1146.74,-415.97,Glock-18
KSCERATO,-282.32,-1115.69,-415.97,Glock-18
molodoy,749.96,-786.13,-399.97,Glock-18
sh1ro,-52.98,-399.19,-415.97,Dual Berettas
YEKINDAR,819.52,-1136.41,-415.97,Glock-18
KSCERATO,-285.48,-1109.70,-415.97,Glock-18
sh1ro,-79.24,-390.93,-415.97,Dual Berettas
KSCERATO,-302.87,-1101.92,-415.97,Glock-18
sh1ro,-82.39,-389.85,-415.97,Dual Berettas
sh1ro,-70.07,-393.89,-415.97,Dual Berettas
KSCERATO,-312.45,-1098.32,-415.97,Glock-18
sh1ro,-54.51,-399.15,-415.97,Dual Berettas
KSCERATO,-327.30,-1093.33,-415.97,Glock-18
sh1ro,-42.13,-403.59,-415.47,Dual Berettas
sh1ro,-48.11,-401.26,-415.97,Dual Berettas
YEKINDAR,781.99,-1119.60,-415.97,Glock-18
KSCERATO,-332.46,-1094.52,-415.97,Glock-18
KSCERATO,-336.49,-1092.66,-415.97,Glock-18
KSCERATO,-335.20,-1093.75,-415.97,Glock-18
zont1x,961.09,-320.81,-127.97,USP-S
YEKINDAR,932.38,-1426.05,-415.97,Glock-18
zont1x,953.75,-320.41,-127.97,USP-S
molodoy,522.72,-669.40,-399.97,Glock-18
YEKINDAR,905.58,-1425.54,-415.97,Glock-18
molodoy,527.81,-675.56,-399.97,Glock-18
YEKINDAR,895.05,-1425.00,-415.97,Glock-18
molodoy,531.40,-680.43,-399.97,Glock-18
zont1x,987.38,-343.01,-127.97,USP-S
molodoy,533.39,-683.30,-399.97,Glock-18
molodoy,537.54,-689.22,-399.97,Glock-18
molodoy,539.86,-692.18,-399.97,Glock-18
sh1ro,289.24,-1066.61,-391.97,Dual Berettas
sh1ro,321.69,-973.50,-391.97,Dual Berettas
sh1ro,342.17,-957.56,-391.97,Dual Berettas
sh1ro,364.89,-940.22,-391.97,Dual Berettas
sh1ro,382.22,-917.88,-391.47,Dual Berettas
sh1ro,388.51,-888.59,-391.47,Dual Berettas
sh1ro,388.38,-859.56,-391.97,Dual Berettas
molodoy,540.25,-961.67,-415.97,Glock-18
sh1ro,386.33,-860.69,-391.97,Dual Berettas
molodoy,569.02,-957.43,-415.97,Glock-18
molodoy,535.13,-770.29,-399.97,Glock-18
molodoy,531.95,-766.19,-399.97,Glock-18
molodoy,544.93,-779.44,-399.97,Glock-18
